organismName	taxId	checkmSpeciesTaxId	accession	completeness	gcPercent	superkingdom	phylum	class	order	family	genus	species
Candidatus Brocadia sp.	2172549		GCA_020851925.1		42.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp. AMX3	2293636		GCA_021405145.1		45.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2293636 [species] Candidatus Brocadia sp. AMX3
Candidatus Brocadia sp. AMX2	2293635		GCA_021405165.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2293635 [species] Candidatus Brocadia sp. AMX2
Candidatus Jettenia sp. AMX1	2293637		GCA_021405185.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	2293637 [species] Candidatus Jettenia sp. AMX1
Candidatus Brocadia sp.	2172549		GCA_021463075.1		45.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp.	2172549		GCA_021463785.1		42.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp.	2172549		GCA_021463795.1		43.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Loosdrechtia aerotolerans	2916758		GCA_021646405.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	2982586 [genus] Candidatus Loosdrechtia	2916758 [species] Candidatus Loosdrechtia aerotolerans
Candidatus Brocadia sp.	2172549		GCA_021646415.1		42.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Kuenenia stuttgartiensis	174633		GCA_021646445.1		40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia hertensis	2996012		GCA_021646465.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2996012 [species] Candidatus Kuenenia hertensis
Candidatus Jettenia sp.	2170669		GCA_021650895.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	2170669 [species] Candidatus Jettenia sp.
Candidatus Brocadia sp.	2172549		GCA_021650915.1		45.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Scalindua sp.	2268189		GCA_021776875.1		39.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_021776915.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_021776955.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_021777035.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Anammoxibacter sp.	2945017		GCA_021777055.1		37.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2945014 [family] Candidatus Anammoxibacteraceae	2945015 [genus] Candidatus Anammoxibacter	2945017 [species] Candidatus Anammoxibacter sp.
Candidatus Anammoxibacter sp.	2945017		GCA_021777075.1		35.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2945014 [family] Candidatus Anammoxibacteraceae	2945015 [genus] Candidatus Anammoxibacter	2945017 [species] Candidatus Anammoxibacter sp.
Candidatus Anammoxibacter sp.	2945017		GCA_021777105.1		40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2945014 [family] Candidatus Anammoxibacteraceae	2945015 [genus] Candidatus Anammoxibacter	2945017 [species] Candidatus Anammoxibacter sp.
Candidatus Brocadia sinica	795830		GCA_022180465.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	795830 [species] Candidatus Brocadia sinica
Candidatus Brocadia sapporoensis	392547		GCA_022180585.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	392547 [species] Candidatus Brocadia sapporoensis
Candidatus Jettenia caeni	247490		GCA_022180965.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	247490 [species] Candidatus Jettenia caeni
Candidatus Kuenenia stuttgartiensis	174633		GCA_022180985.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Scalindua sp.	2268189		GCA_022181045.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiia bacterium	2517210		GCA_023128475.1		65.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_023129315.1		66.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadia sinica	795830		GCA_023150675.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	795830 [species] Candidatus Brocadia sinica
Candidatus Kuenenia stuttgartiensis	174633		GCA_023384235.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Brocadiaceae bacterium	2094028		GCA_024223855.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Scalindua sp.	2268189		GCA_024223905.1		39.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadia sp.	2172549		GCA_024434125.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Jettenia sp.	2170669		GCA_024434255.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	2170669 [species] Candidatus Jettenia sp.
Candidatus Bathyanammoxibius amoris	3045451		GCA_024451685.1		52.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2983801 [family] Candidatus Bathyanammoxibiaceae	2983802 [genus] Candidatus Bathyanammoxibius	3045451 [species] Candidatus Bathyanammoxibius amoris
Candidatus Brocadiaceae bacterium	2094028		GCA_024653795.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Kuenenia sp.	2499824		GCA_024654045.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Scalindua sp.	2268189		GCA_024654085.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_024654465.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Kuenenia sp.	2499824		GCA_025994095.1		42.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Brocadia sp.	2172549		GCA_026647515.1		43.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Jettenia caeni	247490		GCA_026647545.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	247490 [species] Candidatus Jettenia caeni
Candidatus Brocadia sinica	795830		GCA_026647655.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	795830 [species] Candidatus Brocadia sinica
Candidatus Kuenenia sp.	2499824	2499824	GCA_027493735.1	93.97	41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Brocadia sp.	2172549		GCA_028283925.1		43.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp.	2172549		GCA_028283945.1		42.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp.	2172549		GCA_029287005.1		45.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Jettenia sp.	2170669		GCA_029287025.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	2170669 [species] Candidatus Jettenia sp.
Candidatus Brocadia sp.	2172549		GCA_029759815.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp.	2172549		GCA_029760015.1		43.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadia sp.	2172549		GCA_029760155.1		45.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadiaceae bacterium	2094028		GCA_030018855.1		51.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadia sp. AMX2	2293635	2293635	GCA_030263755.1	99.02	42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2293635 [species] Candidatus Brocadia sp. AMX2
Candidatus Jettenia sp. AMX1	2293637	2293637	GCA_030263775.1	98.28	40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	2293637 [species] Candidatus Jettenia sp. AMX1
Candidatus Brocadia sp.	2172549		GCA_030409075.1		43.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Jettenia sp.	2170669		GCA_030409085.1		39.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	2170669 [species] Candidatus Jettenia sp.
Candidatus Jettenia caeni	247490		GCA_030583625.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	247490 [species] Candidatus Jettenia caeni
Candidatus Jettenia sp. CY-1	3054210		GCA_030583645.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	3054210 [species] Candidatus Jettenia sp. CY-1
Candidatus Jettenia sp. AMX2	3053984		GCA_030583665.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	3053984 [species] Candidatus Jettenia sp. AMX2
Candidatus Brocadiales bacterium	2760054		GCA_030586535.1		38.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Subterrananammoxibius californiae	3063417		GCA_030586555.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	3063415 [family] Candidatus Subterrananammoxibiaceae	3063416 [genus] Candidatus Subterrananammoxibius	3063417 [species] Candidatus Subterrananammoxibius californiae
Candidatus Brocadiales bacterium	2760054		GCA_030586565.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Brocadiales bacterium	2760054		GCA_030586635.1		49.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Brocadiales bacterium	2760054		GCA_030586765.1		50.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Brocadiia bacterium	2517210		GCA_030596985.1		68.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_030597405.1		69.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Scalindua sp.	2268189		GCA_030600115.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_030600365.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiia bacterium	2517210		GCA_030604945.1		65.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_030605345.1		60.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_030605365.1		64.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_030610705.1		65.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_030615435.1		63.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiia bacterium	2517210		GCA_030616895.1		65.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Scalindua sp.	2268189		GCA_030617325.1		38.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_030617345.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiia bacterium	2517210		GCA_030619795.1		53.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Scalindua sp.	2268189		GCA_030623055.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sediminis	2798304		GCA_030623375.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2798304 [species] Candidatus Scalindua sediminis
Candidatus Scalindua sediminis	2798304		GCA_030623625.1		38.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2798304 [species] Candidatus Scalindua sediminis
Candidatus Scalindua sp.	2268189		GCA_030624185.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiia bacterium	2517210		GCA_030628485.1		65.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_030632595.1		64.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiia bacterium	2517210		GCA_030634835.1		65.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_030650655.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiia bacterium	2517210		GCA_030667445.1		62.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_030672655.1		59.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_030739995.1		66.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Scalindua sp.	2268189		GCA_030743565.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiia bacterium	2517210		GCA_030743675.1		65.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Scalindua sp.	2268189		GCA_030748215.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_030753795.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadia sp.	2172549		GCA_030837935.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadiaceae bacterium	2094028		GCA_031316145.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Scalindua sp.	2268189		GCA_031316155.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_031316235.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiaceae bacterium	2094028		GCA_031426615.1		47.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_031426675.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
