genome_name,contig_size,p_gene_nr,p_gene_length_sum,n_gene_nr,n_gene_length_sum,p_U_overlap_nr,p_U_overlap_length_sum,n_U_overlap_nr,n_U_overlap_length_sum,p_gap_length_sum,n_gap_length_sum,C_overlap_nr,D_overlap_nr,C_lengt_sum,D_lengt_sum
GCA_001753675.2,3893,0,0,4,2510,0,0,0,0,0,1382,0,0,0,0
GCA_001753675.2,3870,3,2202,0,0,0,0,0,0,923,0,0,0,0,0
GCA_001753675.2,29215,20,16765,6,6621,1,-3,1,-3,7793,16793,0,0,0,0
GCA_001753675.2,29203,14,9445,14,13813,2,-6,0,0,13986,14946,0,0,0,0
GCA_001753675.2,28254,5,2353,23,20428,1,-19,2,-3,8767,6905,0,0,0,0
GCA_001753675.2,27732,9,8658,17,14368,2,-16,2,-6,3261,11556,0,0,0,0
GCA_001753675.2,27358,9,6669,10,13817,0,0,0,0,17431,9300,0,0,0,0
GCA_001753675.2,26364,2,2311,25,18974,1,-3,1,0,-3,6785,0,0,0,0
GCA_001753675.2,3556,3,1554,2,1411,0,0,0,0,278,294,0,0,0,0
GCA_001753675.2,24809,11,7720,12,11119,0,0,0,0,16908,9643,0,0,0,0
GCA_001753675.2,24588,11,6157,13,12053,1,-3,3,-6,2877,3115,0,0,0,0
GCA_001753675.2,3341,0,0,4,2137,0,0,0,0,0,1032,0,0,0,0
GCA_001753675.2,23584,12,15447,6,4638,0,0,1,-49,2433,10587,0,0,0,0
GCA_001753675.2,22906,2,973,17,18376,1,-3,2,-10,-3,3100,0,0,0,0
GCA_001753675.2,22777,6,5310,14,12493,0,0,0,0,11941,8766,0,0,0,0
GCA_001753675.2,22157,4,3767,11,15739,0,0,1,-9,15525,4860,0,0,0,0
GCA_001753675.2,3231,4,2345,1,353,1,-3,0,0,217,0,0,0,0,0
GCA_001753675.2,21948,5,6727,11,12916,1,-3,2,-28,532,8584,0,0,0,0
GCA_001753675.2,3070,1,242,1,2501,0,0,0,0,0,0,0,0,0,0
GCA_001753675.2,20622,12,14943,2,1786,1,-7,0,0,4578,5626,0,0,0,0
GCA_001753675.2,20373,5,3841,17,12808,0,0,3,-33,6359,7359,0,0,0,0
GCA_001753675.2,19853,11,6529,14,10263,0,0,0,0,4408,7271,0,0,0,0
GCA_001753675.2,19300,2,3637,12,8853,0,0,0,0,1234,9600,0,0,0,0
GCA_001753675.2,18905,12,10803,3,2547,3,-48,0,0,6465,11590,0,0,0,0
GCA_001753675.2,18799,9,10089,7,5183,1,-3,1,0,7678,12464,0,0,0,0
GCA_001753675.2,2851,2,1108,0,0,0,0,0,0,574,0,0,0,0,0
GCA_001753675.2,18711,7,6812,5,4483,1,-7,0,0,4374,7284,0,0,0,0
GCA_001753675.2,18237,13,16142,1,923,1,-12,0,0,810,0,0,0,0,0
GCA_001753675.2,18097,8,5496,11,8446,0,0,1,-3,12141,5951,0,0,0,0
GCA_001753675.2,2749,3,1005,1,311,0,0,0,0,661,0,0,0,0,0
GCA_001753675.2,17817,7,5027,8,9178,0,0,2,-6,11963,7045,0,0,0,0
GCA_001753675.2,16827,8,3298,9,8329,2,-91,2,-22,6359,7778,0,0,0,0
GCA_001753675.2,16503,15,14586,0,0,5,-68,0,0,1651,0,0,0,0,0
GCA_001753675.2,16225,6,5007,9,8538,0,0,0,0,1825,4747,0,0,0,0
GCA_001753675.2,15775,0,0,8,12739,0,0,0,0,0,1287,0,0,0,0
GCA_001753675.2,14251,5,5431,6,4962,0,0,1,-16,4584,4716,0,0,0,0
GCA_001753675.2,14008,0,0,9,10728,0,0,0,0,0,2767,0,0,0,0
GCA_001753675.2,13599,3,4233,6,7146,0,0,0,0,1048,242,0,0,0,0
GCA_001753675.2,13512,5,3178,7,7361,1,0,0,0,9318,4760,0,0,0,0
GCA_001753675.2,12937,8,6964,2,3450,1,-33,0,0,1626,415,0,0,0,0
GCA_001753675.2,12097,7,7733,2,1099,1,-7,0,0,1509,10028,0,0,0,0
GCA_001753675.2,12089,1,1939,7,6707,0,0,0,0,0,2426,0,0,0,0
GCA_001753675.2,102088,35,33499,54,50178,2,-20,4,-31,65515,44641,2,1,-11,13
GCA_001753675.2,11739,4,4772,6,4168,0,0,1,-3,5947,4627,0,0,0,0
GCA_001753675.2,11646,10,8816,1,959,3,-6,0,0,954,0,0,0,0,0
GCA_001753675.2,11218,2,742,7,7652,0,0,0,0,9192,1282,0,0,0,0
GCA_001753675.2,90587,50,41869,31,32848,0,0,2,-9,45961,55683,0,0,0,0
GCA_001753675.2,10238,4,2195,5,6181,1,-3,1,-3,276,3820,0,0,0,0
GCA_001753675.2,10069,0,0,4,6137,0,0,0,0,0,1039,0,0,0,0
GCA_001753675.2,9588,9,5685,0,0,1,-3,0,0,3506,0,0,0,0,0
GCA_002009475.1,12385,9,5268,5,3481,0,0,3,-9,6013,6820,0,0,0,0
GCA_002009475.1,12030,9,6513,2,1522,0,0,0,0,4589,1957,0,0,0,0
GCA_002009475.1,11779,2,1381,11,6673,0,0,1,-7,292,2379,0,0,0,0
GCA_002009475.1,58978,24,15303,29,31150,1,-16,2,-62,42046,27352,0,0,0,0
GCA_002009475.1,10991,9,6255,2,548,1,-7,0,0,4213,1503,0,0,0,0
GCA_002009475.1,10364,8,4453,6,3300,1,-7,0,0,4491,438,0,0,0,0
GCA_002009475.1,10337,6,4281,6,3292,2,-7,0,0,1868,6429,0,0,0,0
GCA_002009475.1,58760,20,20306,30,22027,2,-9,4,-75,35539,36732,0,0,0,0
GCA_002009475.1,10207,9,6386,2,760,1,-7,0,0,2017,402,0,0,0,0
GCA_002009475.1,10067,8,3865,7,1834,1,-19,1,-15,3431,3940,0,0,0,0
GCA_002009475.1,9769,4,1878,4,4787,0,0,0,0,7401,2078,0,0,0,0
GCA_002009475.1,9606,7,2834,3,4194,0,0,0,0,6284,4831,0,0,0,0
GCA_002009475.1,57887,29,26333,21,15936,2,-101,0,0,29846,35094,0,0,0,0
GCA_002009475.1,9259,8,4633,3,1737,2,-38,0,0,3240,2956,0,0,0,0
GCA_002009475.1,8429,1,680,13,3749,0,0,5,-74,0,3288,0,0,0,0
GCA_002009475.1,8402,7,6025,0,0,0,0,0,0,1213,0,0,0,0,0
GCA_002009475.1,57791,28,22364,13,11306,4,-88,2,-40,35018,38831,0,0,0,0
GCA_002009475.1,8140,2,2641,4,2443,0,0,0,0,51,5194,0,0,0,0
GCA_002009475.1,7993,0,0,6,6504,0,0,3,-12,0,506,0,0,0,0
GCA_002009475.1,53516,11,6692,40,26600,1,-7,12,-233,29716,20948,0,0,0,0
GCA_002009475.1,7931,5,7158,0,0,1,-10,0,0,582,0,0,0,0,0
GCA_002009475.1,7614,2,2548,3,2586,0,0,0,0,14,5027,0,0,0,0
GCA_002009475.1,51623,24,20643,16,21053,8,-96,1,-15,27795,19734,0,0,0,0
GCA_002009475.1,51046,35,30311,15,13577,5,-119,5,-144,13961,31794,0,0,0,0
GCA_002009475.1,6805,7,4970,1,284,1,-34,0,0,1317,0,0,0,0,0
GCA_002009475.1,50377,30,27270,12,8496,5,-77,1,-7,21410,21421,0,0,0,0
GCA_002009475.1,6576,3,1746,1,1979,0,0,0,0,4258,0,0,0,0,0
GCA_002009475.1,6502,1,239,2,4663,0,0,1,-79,0,-79,0,0,0,0
GCA_002009475.1,47018,20,20128,20,13528,3,-89,1,-6,24679,21962,0,0,0,0
GCA_002009475.1,6205,5,4099,0,0,0,0,0,0,1485,0,0,0,0,0
GCA_002009475.1,6105,4,4040,0,0,0,0,0,0,2001,0,0,0,0,0
GCA_002009475.1,6072,3,1106,3,3342,0,0,0,0,457,442,0,0,0,0
GCA_002009475.1,6056,5,3049,3,1556,0,0,0,0,2396,1490,0,0,0,0
GCA_002009475.1,46728,12,8982,25,18284,2,-10,4,-71,23589,26429,0,0,0,0
GCA_002009475.1,137264,74,63526,41,35752,15,-175,8,-123,52908,96671,0,0,0,0
GCA_002009475.1,6038,1,196,5,1855,0,0,0,0,0,2782,0,0,0,0
GCA_002009475.1,46024,13,6034,29,29866,2,-6,4,-128,7710,15366,0,0,0,0
GCA_002009475.1,5913,1,527,2,1084,0,0,1,-3,0,-3,0,0,0,0
GCA_002009475.1,5782,4,1283,4,1846,1,-3,0,0,182,476,0,0,0,0
GCA_002009475.1,5757,2,530,5,4057,0,0,0,0,3198,724,0,0,0,0
GCA_002009475.1,44802,21,21630,16,11288,1,0,2,-61,14511,33002,0,0,0,0
GCA_002009475.1,44715,8,8056,33,23355,1,-7,16,-153,4936,6148,0,0,0,0
GCA_002009475.1,5425,4,1541,3,2647,1,-27,0,0,639,2777,0,0,0,0
GCA_002009475.1,44490,3,2796,36,33963,0,0,5,-117,38520,9432,0,0,0,0
GCA_002009475.1,44447,12,9852,16,18512,4,-28,4,-101,33486,19958,0,0,0,0
GCA_002009475.1,5168,6,3741,0,0,0,0,0,0,863,0,0,0,0,0
GCA_002009475.1,5097,4,2623,1,179,0,0,0,0,2082,0,0,0,0,0
GCA_002009475.1,5031,2,1528,2,1096,1,-10,0,0,-10,308,0,0,0,0
GCA_002009475.1,43736,6,5121,28,22410,1,-85,3,-29,11876,20883,0,0,0,0
GCA_002009475.1,4995,0,0,2,2410,0,0,0,0,0,1636,0,0,0,0
GCA_002009475.1,4978,3,509,5,3118,0,0,3,-34,4160,734,0,1,0,13
GCA_002009475.1,4948,4,3740,0,0,1,-13,0,0,470,0,0,0,0,0
GCA_002009475.1,42081,29,25834,9,5499,5,-65,0,0,15264,34992,0,0,0,0
GCA_002009475.1,4883,6,4443,1,182,1,-3,0,0,241,0,0,0,0,0
GCA_002009475.1,4767,4,1923,1,1784,0,0,0,0,2591,0,0,0,0,0
GCA_002009475.1,41789,25,14776,21,17705,4,-12,2,-38,26561,18170,0,0,0,0
GCA_002009475.1,4661,1,454,4,3890,0,0,0,0,0,254,0,0,0,0
GCA_002009475.1,4638,3,1062,4,2594,0,0,0,0,3340,105,0,0,0,0
GCA_002009475.1,41453,17,15313,20,15046,2,-74,0,0,22770,23737,0,1,0,57
GCA_002009475.1,38983,5,3976,22,16328,0,0,3,-25,23495,22072,0,0,0,0
GCA_002009475.1,126401,34,23968,68,69533,2,-31,9,-225,84425,52509,0,0,0,0
GCA_002009475.1,4455,1,665,3,1683,0,0,0,0,0,1473,0,0,0,0
GCA_002009475.1,38911,26,22033,6,5070,5,-102,0,0,15321,33840,0,0,0,0
GCA_002009475.1,37482,17,22957,5,3138,0,0,0,0,11411,34107,0,0,0,0
GCA_002009475.1,4214,2,3003,0,0,0,0,0,0,728,0,0,0,0,0
GCA_002009475.1,4174,5,2626,0,0,1,-7,0,0,708,0,0,0,0,0
GCA_002009475.1,4139,2,1144,4,1343,0,0,0,0,1155,2747,0,0,0,0
GCA_002009475.1,4125,3,1962,2,1309,0,0,0,0,1476,265,0,0,0,0
GCA_002009475.1,4112,2,565,4,2371,1,-3,0,0,-3,1740,0,0,0,0
GCA_002009475.1,36629,17,19329,14,9685,5,-150,2,-55,4602,1872,0,0,0,0
GCA_002009475.1,4059,2,2908,1,833,1,-3,0,0,-3,0,0,0,0,0
GCA_002009475.1,4047,0,0,4,1376,0,0,1,-3,0,629,0,0,0,0
GCA_002009475.1,4011,2,742,3,1047,0,0,1,-13,824,52,0,0,0,0
GCA_002009475.1,36315,20,19511,11,10630,7,-126,3,-13,15058,24451,0,0,0,0
GCA_002009475.1,36255,18,15033,12,11138,3,-53,1,-6,20055,21224,0,0,0,0
GCA_002009475.1,36106,29,24907,8,3634,9,-116,2,-28,10534,23579,0,0,0,0
GCA_002009475.1,3735,0,0,4,2867,0,0,1,0,0,3,0,0,0,0
GCA_002009475.1,36068,23,20725,7,6572,0,0,0,0,8748,29060,0,0,0,0
GCA_002009475.1,35568,16,20300,6,4767,1,-3,1,-3,15099,8050,0,0,0,0
GCA_002009475.1,3569,2,3415,0,0,0,0,0,0,56,0,0,0,0,0
GCA_002009475.1,3519,4,2090,2,481,1,-25,0,0,850,21,0,0,0,0
GCA_002009475.1,34721,5,4177,28,25730,0,0,5,-117,27114,5258,0,0,0,0
GCA_002009475.1,3422,1,185,1,1055,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,34167,27,13783,12,9591,4,-24,0,0,20383,12214,0,0,0,0
GCA_002009475.1,119625,61,60788,46,32741,5,-41,7,-106,58090,67343,0,0,0,0
GCA_002009475.1,3356,2,294,4,2843,0,0,3,-165,3061,-165,0,0,0,0
GCA_002009475.1,33497,23,17150,9,7281,4,-103,1,-73,13452,12215,0,0,0,0
GCA_002009475.1,3256,1,200,3,2685,0,0,2,-49,0,-49,0,0,0,0
GCA_002009475.1,3244,3,2082,0,0,0,0,0,0,204,0,0,0,0,0
GCA_002009475.1,33187,10,10793,9,11982,1,-22,0,0,20736,14413,0,0,0,0
GCA_002009475.1,32796,9,9901,16,11180,0,0,1,-93,11260,15639,0,0,0,0
GCA_002009475.1,3146,2,2826,0,0,1,-16,0,0,-16,0,0,0,0,0
GCA_002009475.1,30980,10,10655,15,14391,1,-3,0,0,17838,16164,0,0,0,0
GCA_002009475.1,3126,1,857,1,284,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,29743,13,13634,7,6764,1,-3,0,0,8199,16109,0,0,0,0
GCA_002009475.1,3009,1,227,3,669,0,0,0,0,0,2006,0,0,0,0
GCA_002009475.1,2970,2,909,2,1268,0,0,0,0,1502,934,0,0,0,0
GCA_002009475.1,28936,14,9562,15,9420,3,-42,2,-13,19198,3432,0,0,0,0
GCA_002009475.1,2950,1,164,2,1600,0,0,0,0,0,676,0,0,0,0
GCA_002009475.1,2939,2,1582,1,196,0,0,0,0,830,0,0,0,0,0
GCA_002009475.1,28756,14,12416,8,5524,1,-7,2,-3,9234,13952,0,0,0,0
GCA_002009475.1,2836,3,1635,1,196,1,-34,0,0,-17,0,0,0,0,0
GCA_002009475.1,27731,17,20134,5,2098,3,-53,0,0,4092,25513,0,0,0,0
GCA_002009475.1,2785,1,542,1,275,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,26864,4,3689,22,14198,0,0,3,-43,16846,11926,0,0,0,0
GCA_002009475.1,26819,19,18260,3,3882,4,-74,1,-18,6874,1423,0,0,0,0
GCA_002009475.1,102273,43,39175,45,37302,3,-35,5,-180,62950,57055,0,0,0,0
GCA_002009475.1,25919,3,2889,19,14687,0,0,0,0,8863,9078,0,0,0,0
GCA_002009475.1,2576,0,0,1,2077,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,25762,12,11223,11,7577,0,0,0,0,13808,15718,0,0,0,0
GCA_002009475.1,2518,1,2042,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,25466,10,7742,10,8036,1,-3,0,0,13520,14158,0,0,0,0
GCA_002009475.1,23628,4,3125,15,12285,1,-3,4,-37,4735,10331,0,0,0,0
GCA_002009475.1,22634,2,895,16,9699,0,0,0,0,4014,12878,0,0,0,0
GCA_002009475.1,22630,2,1417,17,13435,0,0,1,-3,632,6948,0,0,0,0
GCA_002009475.1,2305,0,0,3,1750,0,0,0,0,0,259,0,0,0,0
GCA_002009475.1,22477,22,18461,1,482,3,-10,0,0,3682,0,0,0,0,0
GCA_002009475.1,2282,1,191,2,619,0,0,0,0,0,736,0,0,0,0
GCA_002009475.1,2265,3,1222,0,0,0,0,0,0,855,0,0,0,0,0
GCA_002009475.1,22474,9,4596,12,13767,0,0,1,-43,17635,1404,0,0,0,0
GCA_002009475.1,22474,5,2668,13,10091,0,0,0,0,5873,7059,0,0,0,0
GCA_002009475.1,2228,1,196,3,676,0,0,0,0,0,1221,0,0,0,0
GCA_002009475.1,2217,3,1665,0,0,1,-39,0,0,-13,0,0,0,0,0
GCA_002009475.1,2201,0,0,2,1129,0,0,0,0,0,1071,0,0,0,0
GCA_002009475.1,22016,19,16457,1,911,5,-117,0,0,4783,0,0,0,0,0
GCA_002009475.1,77015,50,35920,24,21119,8,-117,1,-3,31313,55895,0,0,0,0
GCA_002009475.1,21923,10,7484,9,5883,1,-25,1,-34,7421,7308,0,0,0,0
GCA_002009475.1,2137,0,0,1,1448,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,21842,6,5568,11,9763,1,-52,2,-152,1838,10766,0,0,0,0
GCA_002009475.1,21767,12,12548,4,2054,2,-68,0,0,8803,17816,0,0,0,0
GCA_002009475.1,2044,0,0,1,965,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,2008,1,615,3,1242,0,0,0,0,0,109,0,0,0,0
GCA_002009475.1,21746,14,14578,7,3587,4,-56,1,-3,6587,14024,0,0,0,0
GCA_002009475.1,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,2002,3,1630,0,0,0,0,0,0,117,0,0,0,0,0
GCA_002009475.1,1994,0,0,2,1183,0,0,0,0,0,354,0,0,0,0
GCA_002009475.1,21064,3,1986,12,12507,0,0,2,-86,13678,6113,0,0,0,0
GCA_002009475.1,1961,0,0,2,1428,0,0,0,0,0,335,0,0,0,0
GCA_002009475.1,20482,17,9098,8,6421,1,-18,1,-34,9699,12399,0,0,0,0
GCA_002009475.1,1915,0,0,2,1837,0,0,0,0,0,16,0,0,0,0
GCA_002009475.1,20473,11,8767,8,6245,1,-16,1,-34,8789,12165,0,0,0,0
GCA_002009475.1,20288,9,6060,11,7318,1,-31,0,0,13528,5143,0,0,0,0
GCA_002009475.1,1847,1,368,1,270,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1827,1,359,1,284,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,19950,8,9238,14,5005,0,0,0,0,8851,11640,0,0,0,0
GCA_002009475.1,1826,2,1408,1,137,0,0,0,0,88,0,0,0,0,0
GCA_002009475.1,19798,8,8992,10,5723,0,0,3,-32,8770,13547,0,0,0,0
GCA_002009475.1,67429,28,25655,47,23906,6,-79,5,-22,23407,42648,0,0,0,0
GCA_002009475.1,1803,2,1496,0,0,0,0,0,0,306,0,0,0,0,0
GCA_002009475.1,1780,2,577,1,120,0,0,0,0,268,0,0,0,0,0
GCA_002009475.1,19681,13,9725,1,221,0,0,0,0,9216,0,0,0,0,0
GCA_002009475.1,1760,1,1699,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1756,0,0,3,1137,0,0,0,0,0,214,0,0,0,0
GCA_002009475.1,1729,3,1008,0,0,1,-22,0,0,495,0,0,0,0,0
GCA_002009475.1,19639,3,750,8,8863,0,0,1,-3,3242,5794,0,0,0,0
GCA_002009475.1,1705,1,512,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,19625,2,1393,20,10873,0,0,4,-48,2565,7007,0,0,0,0
GCA_002009475.1,1656,0,0,1,1244,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,19258,5,7150,8,9148,0,0,0,0,2941,9222,0,0,0,0
GCA_002009475.1,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,18506,6,4833,10,6628,1,-15,0,0,5407,5176,0,0,0,0
GCA_002009475.1,1595,1,257,1,432,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1587,1,158,1,545,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,17254,10,7967,2,865,2,-22,0,0,3816,14559,0,0,0,0
GCA_002009475.1,16926,16,12821,4,1931,3,-16,2,-19,2568,9848,0,0,0,0
GCA_002009475.1,1464,0,0,1,1463,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,16772,16,10095,6,3146,1,-16,0,0,1827,1247,0,0,0,0
GCA_002009475.1,64578,20,16453,29,30853,0,0,4,-38,46188,30291,0,0,0,0
GCA_002009475.1,1441,1,770,1,224,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1388,1,204,2,622,0,0,1,-10,0,-10,0,0,0,0
GCA_002009475.1,16410,10,5366,9,6705,0,0,2,-16,9020,7854,0,0,0,0
GCA_002009475.1,1363,0,0,1,755,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1358,2,553,0,0,0,0,0,0,18,0,0,0,0,0
GCA_002009475.1,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,15513,9,7371,6,3738,0,0,2,-143,7562,11132,0,0,0,0
GCA_002009475.1,1309,1,647,1,336,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1304,2,1229,0,0,0,0,0,0,31,0,0,0,0,0
GCA_002009475.1,15388,6,8790,2,1918,0,0,0,0,6051,11545,0,0,0,0
GCA_002009475.1,1267,2,1123,0,0,0,0,0,0,143,0,0,0,0,0
GCA_002009475.1,1264,1,284,1,209,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,15185,5,6070,4,3794,0,0,1,-3,7588,2185,0,0,0,0
GCA_002009475.1,1259,1,716,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,14949,2,2461,11,8173,0,0,1,-3,12,6019,0,0,0,0
GCA_002009475.1,14903,0,0,13,9670,0,0,0,0,0,5232,0,0,0,0
GCA_002009475.1,1181,0,0,1,1177,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1164,2,973,0,0,0,0,0,0,91,0,0,0,0,0
GCA_002009475.1,14890,5,4474,7,7886,2,-38,0,0,7091,4553,0,0,0,0
GCA_002009475.1,1160,1,425,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1154,1,383,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1152,1,269,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,14877,17,9998,0,0,2,-7,0,0,4736,0,0,0,0,0
GCA_002009475.1,59982,37,28103,26,18312,4,-69,8,-103,25642,40020,0,0,0,0
GCA_002009475.1,1102,0,0,2,496,0,0,0,0,0,105,0,0,0,0
GCA_002009475.1,1098,2,454,0,0,1,-4,0,0,-4,0,0,0,0,0
GCA_002009475.1,14865,6,4467,9,6720,0,0,2,-16,3335,4955,0,0,0,0
GCA_002009475.1,1092,1,985,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,14825,6,7922,2,1531,0,0,0,0,2864,357,0,0,0,0
GCA_002009475.1,14725,1,308,8,8917,0,0,0,0,0,5379,0,0,0,0
GCA_002009475.1,1041,3,906,0,0,0,0,0,0,134,0,0,0,0,0
GCA_002009475.1,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,14333,10,10280,1,230,1,-13,0,0,2313,0,0,0,0,0
GCA_002009475.1,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1018,0,0,1,503,0,0,0,0,0,0,0,0,0,0
GCA_002009475.1,1006,0,0,2,625,0,0,0,0,0,183,0,0,0,0
GCA_002009475.1,14208,11,4886,4,4055,0,0,1,0,9282,1046,0,0,0,0
GCA_002009475.1,13981,11,8318,1,1196,0,0,0,0,5475,0,0,0,0,0
GCA_002009475.1,12947,7,4280,8,5860,1,-3,1,-28,4731,6117,0,0,0,0
GCA_002009475.1,12817,5,3705,6,5187,0,0,2,-28,9111,1863,0,0,0,0
GCA_002009475.1,59511,43,32080,19,11669,2,-22,3,-87,24270,46170,0,0,0,0
GCA_002050315.1,89828,30,26597,50,50836,2,-3,12,-219,62946,36887,0,0,0,0
GCA_002050315.1,21557,12,8853,8,9302,0,0,0,0,5868,11679,0,0,0,0
GCA_002050315.1,173196,64,57418,99,85857,7,-47,8,-111,111754,84398,0,0,0,0
GCA_002050315.1,8879,2,1891,5,4987,0,0,0,0,13,743,0,0,0,0
GCA_002050315.1,30603,21,21669,1,182,5,-22,0,0,5855,0,0,0,0,0
GCA_002050315.1,7631,2,1003,5,5656,0,0,0,0,33,128,0,0,0,0
GCA_002050315.1,43175,10,8408,23,27439,1,-3,3,-16,24867,15230,0,0,0,0
GCA_002050315.1,6354,2,874,4,4408,0,0,0,0,1159,1828,0,0,0,0
GCA_002050315.1,16280,4,2117,11,11353,1,0,0,0,5063,4168,0,0,0,0
GCA_002050315.1,3962,3,2905,1,455,1,-7,0,0,66,0,0,0,0,0
GCA_002050315.1,10518,6,4146,4,3551,0,0,0,0,5225,366,0,0,0,0
GCA_002050315.1,8329,1,242,13,6465,0,0,3,-93,0,1843,0,0,0,0
GCA_002050315.1,14653,0,0,13,13999,0,0,0,0,0,566,0,0,0,0
GCA_002050315.1,30124,15,16242,9,10558,2,-6,1,-6,8046,14045,0,0,0,0
GCA_002050315.1,12361,9,9801,4,1944,5,-67,0,0,600,7436,0,0,0,0
GCA_002050315.1,11461,8,7024,1,980,1,-3,0,0,3644,0,0,0,0,0
GCA_002050315.1,36429,17,15986,18,14318,3,-44,3,-6,7521,21578,0,0,0,0
GCA_002050315.1,9388,2,3727,4,3647,0,0,0,0,1158,424,0,0,0,0
GCA_002050315.1,37214,18,19346,13,12056,0,0,1,-7,17736,8564,0,0,0,0
GCA_002050315.1,12313,6,6789,2,3346,0,0,0,0,828,603,0,0,0,0
GCA_002050315.1,38081,6,6510,30,27737,0,0,5,-159,25991,5363,0,0,0,0
GCA_002050315.1,30137,9,7218,16,17105,2,-6,2,-37,11453,7733,0,0,0,0
GCA_002050315.1,75111,38,39382,27,25805,3,-9,0,0,32777,49016,0,0,0,0
GCA_002050315.1,19469,9,9471,8,7075,1,0,1,-28,9582,10358,0,0,0,0
GCA_002050315.1,9575,2,3139,3,4593,0,0,0,0,457,725,0,0,0,0
GCA_002050315.1,24560,11,10024,8,8254,0,0,0,0,9585,13761,0,0,0,0
GCA_002050315.1,12125,2,673,11,9343,0,0,1,-9,2781,1506,0,0,0,0
GCA_002050315.1,17475,7,7986,9,7044,1,-3,0,0,2687,9466,0,0,0,0
GCA_002050315.1,2938,1,377,2,1690,0,0,0,0,0,242,0,0,0,0
GCA_002050315.1,8999,1,1211,8,2734,0,0,2,-20,0,4272,0,0,0,0
GCA_002050315.1,4425,4,4055,0,0,0,0,0,0,229,0,0,0,0,0
GCA_002050315.1,14499,6,8421,6,2994,0,0,1,-40,4251,9495,0,0,0,0
GCA_002050315.1,26293,7,3998,21,19250,2,-28,8,-52,2679,7028,0,0,0,0
GCA_002050315.1,7006,1,2810,3,3063,0,0,1,-19,0,3222,0,0,0,0
GCA_002050315.1,11040,9,8877,1,197,1,-3,0,0,1551,0,0,0,0,0
GCA_002050315.1,32343,8,8518,22,15560,0,0,0,0,5517,15229,0,0,0,0
GCA_002050315.1,82024,20,18106,45,47867,0,0,5,-197,36717,34118,0,0,0,0
GCA_002050315.1,11190,6,4874,9,4788,0,0,1,0,6146,2827,0,0,0,0
GCA_002050315.1,5936,4,1646,4,3032,0,0,0,0,1580,1857,0,0,0,0
GCA_002050315.1,4737,0,0,3,3657,0,0,0,0,0,214,0,0,0,0
GCA_002050315.1,5961,4,4067,1,854,1,-3,0,0,42,0,0,0,0,0
GCA_002050315.1,57501,29,28240,20,20332,3,-34,4,-13,17155,26420,0,0,0,0
GCA_002050315.1,33466,10,10265,18,18286,2,-16,1,-3,22492,14540,0,0,0,0
GCA_002050315.1,20730,14,13795,6,4704,3,-40,1,-3,2957,9768,0,0,0,0
GCA_002050315.1,2599,0,0,1,2596,0,0,0,0,0,0,0,0,0,0
GCA_002050315.1,24523,14,11704,12,9289,3,-40,1,-36,12560,11377,0,0,0,0
GCA_002050315.1,61173,26,24757,29,29023,2,-52,1,-6,36224,19764,0,0,0,0
GCA_002050315.1,3902,1,1160,3,1764,0,0,1,-6,0,87,0,0,0,0
GCA_002050315.1,32343,19,19112,7,8237,3,-26,1,-19,13230,17906,0,0,0,0
GCA_002050315.1,13803,10,6500,3,3822,1,0,0,0,6879,6920,0,0,0,0
GCA_002050315.1,5910,2,2038,3,3342,0,0,0,0,197,19,0,0,0,0
GCA_002050315.1,57473,27,27492,18,22524,3,-13,3,-9,20100,30924,0,0,0,0
